tick,time_of_day,time_window,open_orders,created_window_1,created_window_2,created_window_3,created_window_4,completed_window_1,completed_window_2,completed_window_3,completed_window_4
80100,22.25,4,4,423,2951,2403,1502,423,2945,2393,1513
80400,22.33,4,7,423,2951,2403,1502,423,2945,2393,1513
80700,22.42,4,5,423,2951,2403,1502,423,2945,2393,1513
81000,22.5,4,8,423,2951,2403,1502,423,2945,2393,1513
81300,22.58,4,3,423,2951,2403,1502,423,2945,2393,1513
81600,22.67,4,3,423,2951,2403,1502,423,2945,2393,1513
81900,22.75,4,6,423,2951,2403,1502,423,2945,2393,1513
82200,22.83,4,4,423,2951,2403,1502,423,2945,2393,1513
82500,22.92,4,5,423,2951,2403,1502,423,2945,2393,1513
82800,23,4,4,423,2951,2403,1502,423,2945,2393,1513
83100,23.08,4,5,423,2951,2403,1502,423,2945,2393,1513
83400,23.17,4,4,423,2951,2403,1502,423,2945,2393,1513
83700,23.25,4,6,423,2951,2403,1502,423,2945,2393,1513
84000,23.33,4,7,423,2951,2403,1502,423,2945,2393,1513
84300,23.42,4,6,423,2951,2403,1502,423,2945,2393,1513
84600,23.5,4,2,423,2951,2403,1502,423,2945,2393,1513
84900,23.58,4,4,423,2951,2403,1502,423,2945,2393,1513
85200,23.67,4,9,423,2951,2403,1502,423,2945,2393,1513
85500,23.75,4,6,423,2951,2403,1502,423,2945,2393,1513
85800,23.83,4,4,423,2951,2403,1502,423,2945,2393,1513
86100,23.92,4,5,423,2951,2403,1502,423,2945,2393,1513
